index,cluster,true_label,mapped_label
0,4,1,5
1,5,4,4
2,5,5,4
3,2,6,3
4,3,3,1
5,2,6,3
6,0,2,2
7,2,3,3
8,5,5,4
9,3,3,1
10,0,1,2
11,5,6,4
12,2,4,3
13,0,1,2
14,1,2,6
15,2,5,3
16,2,3,3
17,2,5,3
18,3,1,1
19,1,2,6
20,4,1,5
21,2,5,3
22,5,5,4
23,3,2,1
24,5,4,4
25,5,4,4
26,1,2,6
27,5,6,4
28,2,4,3
29,0,1,2
30,5,4,4
31,4,1,5
32,5,5,4
33,3,1,1
34,0,1,2
35,3,1,1
36,3,1,1
37,1,2,6
38,0,1,2
39,1,2,6
40,4,1,5
41,2,5,3
42,4,3,5
43,1,2,6
44,2,3,3
45,1,2,6
46,5,4,4
47,4,1,5
48,5,5,4
49,5,5,4
50,5,5,4
51,5,6,4
52,4,1,5
53,0,1,2
54,3,3,1
55,3,1,1
56,5,5,4
57,3,3,1
58,2,6,3
59,1,2,6
60,1,2,6
61,2,6,3
62,1,2,6
63,5,4,4
64,2,3,3
65,5,5,4
66,4,1,5
67,2,5,3
68,3,1,1
69,1,2,6
70,2,6,3
71,5,5,4
72,0,1,2
73,2,5,3
74,2,4,3
75,4,1,5
76,2,3,3
77,4,1,5
78,0,1,2
79,2,6,3
80,2,6,3
81,5,5,4
82,5,4,4
83,1,2,6
84,2,6,3
85,3,2,1
86,5,6,4
87,5,5,4
88,5,4,4
89,5,4,4
90,4,1,5
91,5,4,4
92,4,1,5
93,0,1,2
94,1,2,6
95,2,5,3
96,0,1,2
97,5,6,4
98,5,6,4
99,2,5,3
100,4,1,5
101,2,4,3
102,4,3,5
103,3,1,1
104,5,5,4
105,0,1,2
106,5,6,4
107,3,2,1
108,1,2,6
109,2,5,3
110,5,4,4
111,3,1,1
112,1,2,6
113,0,1,2
114,2,3,3
115,0,1,2
116,2,5,3
117,2,4,3
118,5,6,4
119,2,5,3
120,3,3,1
121,5,5,4
122,2,3,3
123,2,6,3
124,5,6,4
125,2,4,3
126,2,3,3
127,2,3,3
128,2,3,3
129,4,1,5
130,2,4,3
131,2,6,3
132,3,1,1
133,1,2,6
134,2,6,3
135,3,2,1
136,2,4,3
137,5,4,4
138,2,4,3
139,4,1,5
140,2,5,3
141,3,1,1
142,1,2,6
143,4,1,5
144,0,1,2
145,4,1,5
146,5,5,4
147,2,4,3
148,3,2,1
149,0,1,2
150,1,2,6
151,2,3,3
152,3,2,1
153,3,1,1
154,3,1,1
155,2,3,3
156,2,4,3
157,2,3,3
158,4,3,5
159,5,6,4
160,5,6,4
161,3,1,1
162,3,1,1
163,1,2,6
164,3,2,1
165,5,5,4
166,2,5,3
167,3,1,1
168,5,5,4
169,2,3,3
170,3,3,1
171,2,3,3
172,5,4,4
173,1,2,6
174,2,3,3
175,5,6,4
176,5,5,4
177,5,6,4
178,3,1,1
179,5,4,4
180,0,1,2
181,5,5,4
182,3,1,1
183,0,2,2
184,2,6,3
185,1,2,6
186,2,6,3
187,1,2,6
188,3,1,1
189,0,2,2
190,5,5,4
191,0,1,2
192,5,5,4
193,1,2,6
194,5,6,4
195,2,6,3
196,4,1,5
197,3,1,1
198,2,6,3
199,5,4,4
200,4,1,5
201,5,5,4
202,5,6,4
203,2,6,3
204,5,3,4
205,2,3,3
206,5,4,4
207,0,1,2
208,2,4,3
209,5,6,4
210,3,1,1
211,2,6,3
212,5,6,4
213,2,6,3
214,0,1,2
215,0,2,2
216,3,2,1
217,2,3,3
218,5,5,4
219,1,2,6
220,2,5,3
221,2,3,3
222,3,3,1
223,0,1,2
224,4,1,5
225,4,1,5
226,5,4,4
227,0,1,2
228,0,1,2
229,2,3,3
230,0,1,2
231,0,1,2
232,2,3,3
233,2,3,3
234,4,1,5
235,2,6,3
236,0,1,2
237,5,4,4
238,2,5,3
239,0,1,2
240,2,4,3
241,4,1,5
242,3,3,1
243,2,6,3
244,1,2,6
245,4,1,5
246,5,5,4
247,3,3,1
248,2,5,3
249,2,3,3
250,2,3,3
251,2,4,3
252,2,3,3
253,1,2,6
254,5,4,4
255,3,1,1
256,3,2,1
257,5,4,4
258,4,1,5
259,3,1,1
260,5,5,4
261,3,1,1
262,3,3,1
263,5,6,4
264,5,4,4
265,5,6,4
266,2,4,3
267,0,2,2
268,2,4,3
269,5,6,4
270,1,2,6
271,5,4,4
272,0,1,2
273,5,5,4
274,1,2,6
275,4,1,5
276,3,1,1
