index,cluster,true_label,mapped_label
0,5,1,6
1,0,4,1
2,4,5,4
3,0,6,1
4,2,3,2
5,0,6,1
6,3,2,5
7,2,3,2
8,4,5,4
9,2,3,2
10,1,1,3
11,4,6,4
12,4,4,4
13,1,1,3
14,3,2,5
15,4,5,4
16,2,3,2
17,0,5,1
18,5,1,6
19,3,2,5
20,1,1,3
21,4,5,4
22,4,5,4
23,3,2,5
24,4,4,4
25,4,4,4
26,3,2,5
27,0,6,1
28,0,4,1
29,1,1,3
30,4,4,4
31,5,1,6
32,4,5,4
33,5,1,6
34,1,1,3
35,5,1,6
36,5,1,6
37,3,2,5
38,1,1,3
39,3,2,5
40,5,1,6
41,4,5,4
42,0,3,1
43,3,2,5
44,2,3,2
45,3,2,5
46,4,4,4
47,5,1,6
48,4,5,4
49,4,5,4
50,4,5,4
51,4,6,4
52,5,1,6
53,1,1,3
54,2,3,2
55,1,1,3
56,4,5,4
57,2,3,2
58,4,6,4
59,3,2,5
60,3,2,5
61,0,6,1
62,3,2,5
63,4,4,4
64,2,3,2
65,4,5,4
66,5,1,6
67,4,5,4
68,5,1,6
69,3,2,5
70,0,6,1
71,4,5,4
72,1,1,3
73,0,5,1
74,4,4,4
75,5,1,6
76,2,3,2
77,1,1,3
78,1,1,3
79,0,6,1
80,0,6,1
81,0,5,1
82,4,4,4
83,3,2,5
84,4,6,4
85,3,2,5
86,4,6,4
87,4,5,4
88,4,4,4
89,4,4,4
90,5,1,6
91,4,4,4
92,5,1,6
93,1,1,3
94,3,2,5
95,0,5,1
96,1,1,3
97,4,6,4
98,4,6,4
99,4,5,4
100,1,1,3
101,0,4,1
102,4,3,4
103,5,1,6
104,4,5,4
105,1,1,3
106,4,6,4
107,3,2,5
108,3,2,5
109,0,5,1
110,4,4,4
111,1,1,3
112,3,2,5
113,1,1,3
114,2,3,2
115,1,1,3
116,0,5,1
117,0,4,1
118,4,6,4
119,0,5,1
120,2,3,2
121,4,5,4
122,2,3,2
123,0,6,1
124,0,6,1
125,4,4,4
126,2,3,2
127,2,3,2
128,2,3,2
129,5,1,6
130,0,4,1
131,0,6,1
132,5,1,6
133,3,2,5
134,0,6,1
135,3,2,5
136,0,4,1
137,4,4,4
138,0,4,1
139,1,1,3
140,0,5,1
141,5,1,6
142,3,2,5
143,5,1,6
144,1,1,3
145,5,1,6
146,4,5,4
147,0,4,1
148,3,2,5
149,1,1,3
150,3,2,5
151,2,3,2
152,3,2,5
153,5,1,6
154,5,1,6
155,2,3,2
156,0,4,1
157,2,3,2
158,0,3,1
159,4,6,4
160,0,6,1
161,5,1,6
162,1,1,3
163,3,2,5
164,3,2,5
165,4,5,4
166,0,5,1
167,1,1,3
168,4,5,4
169,2,3,2
170,2,3,2
171,2,3,2
172,4,4,4
173,3,2,5
174,2,3,2
175,4,6,4
176,4,5,4
177,0,6,1
178,1,1,3
179,0,4,1
180,1,1,3
181,4,5,4
182,5,1,6
183,3,2,5
184,0,6,1
185,3,2,5
186,4,6,4
187,3,2,5
188,1,1,3
189,3,2,5
190,4,5,4
191,1,1,3
192,0,5,1
193,3,2,5
194,4,6,4
195,0,6,1
196,5,1,6
197,5,1,6
198,4,6,4
199,4,4,4
200,1,1,3
201,4,5,4
202,4,6,4
203,0,6,1
204,2,3,2
205,2,3,2
206,4,4,4
207,1,1,3
208,0,4,1
209,0,6,1
210,5,1,6
211,0,6,1
212,4,6,4
213,0,6,1
214,1,1,3
215,3,2,5
216,3,2,5
217,2,3,2
218,4,5,4
219,3,2,5
220,4,5,4
221,2,3,2
222,2,3,2
223,1,1,3
224,1,1,3
225,5,1,6
226,4,4,4
227,1,1,3
228,1,1,3
229,2,3,2
230,1,1,3
231,1,1,3
232,2,3,2
233,0,3,1
234,1,1,3
235,4,6,4
236,1,1,3
237,4,4,4
238,4,5,4
239,1,1,3
240,0,4,1
241,5,1,6
242,5,3,6
243,0,6,1
244,3,2,5
245,5,1,6
246,4,5,4
247,2,3,2
248,0,5,1
249,2,3,2
250,2,3,2
251,0,4,1
252,2,3,2
253,3,2,5
254,4,4,4
255,5,1,6
256,3,2,5
257,4,4,4
258,1,1,3
259,1,1,3
260,4,5,4
261,1,1,3
262,2,3,2
263,4,6,4
264,4,4,4
265,4,6,4
266,4,4,4
267,3,2,5
268,4,4,4
269,0,6,1
270,3,2,5
271,4,4,4
272,1,1,3
273,4,5,4
274,3,2,5
275,5,1,6
276,5,1,6
