index,cluster,true_label,mapped_label
0,1,5,3
1,2,1,6
2,3,6,1
3,4,1,4
4,1,6,3
5,2,3,6
6,1,4,3
7,2,1,6
8,2,3,6
9,1,5,3
10,5,4,2
11,1,6,3
12,0,2,5
13,5,5,2
14,5,5,2
15,1,6,3
16,0,2,5
17,3,6,1
18,3,6,1
19,2,1,6
20,1,4,3
21,1,5,3
22,1,6,3
23,3,6,1
24,1,5,3
25,2,1,6
26,3,6,1
27,5,6,2
28,4,1,4
29,3,6,1
30,1,6,3
31,4,1,4
32,2,1,6
33,2,1,6
34,1,5,3
35,4,1,4
36,3,4,1
37,4,1,4
38,1,5,3
39,0,2,5
40,0,3,5
41,1,4,3
42,5,5,2
43,4,1,4
44,4,1,4
45,5,4,2
46,2,1,6
47,2,3,6
48,1,5,3
49,2,1,6
50,0,2,5
51,1,5,3
52,3,6,1
53,1,5,3
54,5,4,2
55,4,1,4
56,2,1,6
57,0,2,5
58,2,1,6
59,4,1,4
60,4,1,4
61,0,2,5
62,1,5,3
63,4,1,4
64,4,1,4
65,4,3,4
66,4,1,4
67,2,3,6
68,4,1,4
69,5,5,2
70,4,1,4
71,4,1,4
72,1,6,3
73,0,3,5
74,0,2,5
75,0,2,5
76,1,6,3
77,1,5,3
78,3,6,1
79,0,2,5
80,2,1,6
81,2,1,6
82,0,2,5
83,4,1,4
84,0,3,5
85,1,5,3
86,4,3,4
87,1,5,3
88,2,1,6
89,1,6,3
90,5,4,2
91,0,2,5
92,4,3,4
93,0,2,5
94,0,2,5
95,4,1,4
96,5,6,2
97,2,3,6
98,5,4,2
99,3,4,1
100,0,2,5
101,2,1,6
102,4,1,4
103,0,2,5
104,1,6,3
105,3,6,1
106,5,4,2
107,5,4,2
108,0,2,5
109,4,1,4
110,4,1,4
111,1,6,3
112,5,4,2
113,0,2,5
114,5,4,2
115,5,6,2
116,1,6,3
117,5,4,2
118,0,2,5
119,3,6,1
120,2,1,6
121,3,5,1
122,0,2,5
123,0,2,5
124,1,5,3
125,4,1,4
126,2,1,6
127,4,1,4
128,0,3,5
129,5,4,2
130,0,2,5
131,5,4,2
132,4,3,4
133,4,1,4
134,4,1,4
135,5,5,2
136,2,1,6
137,5,4,2
