index,cluster,true_label,mapped_label
0,2,1,1
1,0,4,2
2,0,5,2
3,0,6,2
4,1,3,3
5,0,6,2
6,0,2,2
7,1,3,3
8,0,5,2
9,2,3,1
10,2,1,1
11,0,6,2
12,0,4,2
13,2,1,1
14,0,2,2
15,0,5,2
16,1,3,3
17,0,5,2
18,2,1,1
19,0,2,2
20,2,1,1
21,0,5,2
22,0,5,2
23,0,2,2
24,0,4,2
25,0,4,2
26,0,2,2
27,0,6,2
28,0,4,2
29,2,1,1
30,0,4,2
31,2,1,1
32,0,5,2
33,2,1,1
34,2,1,1
35,0,1,2
36,2,1,1
37,0,2,2
38,2,1,1
39,0,2,2
40,2,1,1
41,0,5,2
42,1,3,3
43,0,2,2
44,1,3,3
45,0,2,2
46,0,4,2
47,2,1,1
48,0,5,2
49,0,5,2
50,0,5,2
51,0,6,2
52,2,1,1
53,2,1,1
54,1,3,3
55,2,1,1
56,0,5,2
57,1,3,3
58,0,6,2
59,0,2,2
60,0,2,2
61,0,6,2
62,0,2,2
63,0,4,2
64,1,3,3
65,0,5,2
66,2,1,1
67,0,5,2
68,2,1,1
69,0,2,2
70,0,6,2
71,0,5,2
72,2,1,1
73,0,5,2
74,0,4,2
75,2,1,1
76,1,3,3
77,2,1,1
78,2,1,1
79,0,6,2
80,0,6,2
81,0,5,2
82,0,4,2
83,0,2,2
84,0,6,2
85,0,2,2
86,0,6,2
87,0,5,2
88,0,4,2
89,0,4,2
90,2,1,1
91,0,4,2
92,2,1,1
93,2,1,1
94,0,2,2
95,0,5,2
96,2,1,1
97,0,6,2
98,0,6,2
99,0,5,2
100,2,1,1
101,0,4,2
102,1,3,3
103,2,1,1
104,0,5,2
105,2,1,1
106,0,6,2
107,0,2,2
108,0,2,2
109,0,5,2
110,0,4,2
111,2,1,1
112,0,2,2
113,2,1,1
114,1,3,3
115,2,1,1
116,0,5,2
117,0,4,2
118,0,6,2
119,0,5,2
120,1,3,3
121,0,5,2
122,1,3,3
123,0,6,2
124,0,6,2
125,0,4,2
126,1,3,3
127,1,3,3
128,1,3,3
129,2,1,1
130,0,4,2
131,0,6,2
132,2,1,1
133,0,2,2
134,0,6,2
135,0,2,2
136,0,4,2
137,0,4,2
138,0,4,2
139,2,1,1
140,0,5,2
141,2,1,1
142,0,2,2
143,2,1,1
144,2,1,1
145,2,1,1
146,0,5,2
147,0,4,2
148,0,2,2
149,2,1,1
150,0,2,2
151,2,3,1
152,0,2,2
153,2,1,1
154,2,1,1
155,1,3,3
156,0,4,2
157,1,3,3
158,1,3,3
159,0,6,2
160,0,6,2
161,2,1,1
162,2,1,1
163,0,2,2
164,0,2,2
165,0,5,2
166,0,5,2
167,2,1,1
168,0,5,2
169,1,3,3
170,1,3,3
171,1,3,3
172,0,4,2
173,0,2,2
174,0,6,2
175,0,5,2
176,0,6,2
177,2,1,1
178,0,4,2
179,2,1,1
180,0,5,2
181,2,1,1
182,0,2,2
183,0,6,2
184,0,2,2
185,0,6,2
186,0,2,2
187,2,1,1
188,0,2,2
189,0,5,2
190,2,1,1
191,0,5,2
192,0,2,2
193,0,6,2
194,0,6,2
195,2,1,1
196,2,1,1
197,0,6,2
198,0,4,2
199,2,1,1
200,0,5,2
201,0,6,2
202,0,6,2
203,1,3,3
204,1,3,3
205,0,4,2
206,2,1,1
207,0,4,2
208,0,6,2
209,2,1,1
210,0,6,2
211,0,6,2
212,0,6,2
213,2,1,1
214,0,2,2
215,0,2,2
216,0,3,2
217,0,5,2
218,0,2,2
219,0,5,2
220,1,3,3
221,1,3,3
222,2,1,1
223,2,1,1
224,2,1,1
225,0,4,2
226,2,1,1
227,2,1,1
228,1,3,3
229,2,1,1
230,2,1,1
231,1,3,3
232,1,3,3
233,2,1,1
234,0,6,2
235,2,1,1
236,0,4,2
237,0,5,2
238,2,1,1
239,0,4,2
240,2,1,1
241,1,3,3
242,0,6,2
243,0,2,2
244,2,1,1
245,0,5,2
246,1,3,3
247,0,5,2
248,0,3,2
249,1,3,3
250,0,4,2
251,1,3,3
252,0,2,2
253,0,4,2
254,2,1,1
255,0,2,2
256,0,4,2
257,2,1,1
258,2,1,1
259,0,5,2
260,2,1,1
261,1,3,3
262,0,6,2
263,0,4,2
264,0,6,2
265,0,4,2
266,0,2,2
267,0,4,2
268,0,6,2
269,0,2,2
270,0,4,2
271,2,1,1
272,0,5,2
273,0,2,2
274,2,1,1
275,2,1,1
