index,cluster,true_label,mapped_label
0,3,5,6
1,2,1,3
2,5,6,4
3,2,1,3
4,4,6,5
5,3,3,6
6,2,4,3
7,2,1,3
8,5,3,4
9,5,5,4
10,1,4,1
11,0,6,2
12,1,2,1
13,0,5,2
14,3,5,6
15,1,6,1
16,1,2,1
17,5,6,4
18,4,6,5
19,2,1,3
20,3,4,6
21,3,5,6
22,3,6,6
23,0,6,2
24,4,5,5
25,2,1,3
26,5,6,4
27,5,6,4
28,2,1,3
29,0,6,2
30,5,6,4
31,2,1,3
32,2,1,3
33,2,1,3
34,5,5,4
35,2,1,3
36,5,4,4
37,2,1,3
38,0,5,2
39,1,2,1
40,5,3,4
41,2,4,3
42,5,5,4
43,2,1,3
44,2,1,3
45,3,4,6
46,2,1,3
47,5,3,4
48,5,5,4
49,2,1,3
50,1,2,1
51,4,5,5
52,0,6,2
53,3,5,6
54,3,4,6
55,2,1,3
56,2,1,3
57,1,2,1
58,2,1,3
59,2,1,3
60,2,1,3
61,1,2,1
62,0,5,2
63,2,1,3
64,2,1,3
65,2,3,3
66,2,1,3
67,3,3,6
68,2,1,3
69,4,5,5
70,2,1,3
71,2,1,3
72,4,6,5
73,3,3,6
74,1,2,1
75,1,2,1
76,5,6,4
77,4,5,5
78,0,6,2
79,1,2,1
80,2,1,3
81,2,1,3
82,1,2,1
83,2,1,3
84,0,3,2
85,4,5,5
86,3,3,6
87,5,5,4
88,2,1,3
89,5,6,4
90,0,4,2
91,1,2,1
92,2,3,3
93,1,2,1
94,1,2,1
95,2,1,3
96,0,6,2
97,3,3,6
98,4,4,5
99,4,4,5
100,1,2,1
101,2,1,3
102,2,1,3
103,1,2,1
104,4,6,5
105,0,6,2
106,2,4,3
107,3,4,6
108,1,2,1
109,2,1,3
110,2,1,3
111,1,6,1
112,4,4,5
113,1,2,1
114,5,4,4
115,4,6,5
116,4,6,5
117,3,4,6
118,1,2,1
119,0,6,2
120,2,1,3
121,5,5,4
122,1,2,1
123,1,2,1
124,5,5,4
125,2,1,3
126,2,1,3
127,2,1,3
128,2,3,3
129,3,4,6
130,1,2,1
131,4,4,5
132,3,3,6
133,2,1,3
134,2,1,3
135,0,5,2
136,2,1,3
137,4,4,5
