index,cluster,true_label,mapped_label
0,5,1,6
1,5,4,6
2,5,5,6
3,0,6,2
4,3,3,5
5,4,6,1
6,1,2,4
7,1,3,4
8,2,5,3
9,3,3,5
10,5,1,6
11,2,6,3
12,3,4,5
13,5,1,6
14,1,2,4
15,2,5,3
16,1,3,4
17,2,5,3
18,5,1,6
19,1,2,4
20,5,1,6
21,2,5,3
22,4,5,1
23,1,2,4
24,1,4,4
25,4,4,1
26,1,2,4
27,2,6,3
28,4,4,1
29,5,1,6
30,2,4,3
31,5,1,6
32,4,5,1
33,3,1,5
34,3,1,5
35,1,1,4
36,5,1,6
37,1,2,4
38,3,1,5
39,1,2,4
40,3,1,5
41,0,5,2
42,3,3,5
43,1,2,4
44,3,3,5
45,1,2,4
46,1,4,4
47,3,1,5
48,4,5,1
49,3,5,5
50,3,5,5
51,0,6,2
52,5,1,6
53,5,1,6
54,3,3,5
55,3,1,5
56,4,5,1
57,3,3,5
58,4,6,1
59,1,2,4
60,1,2,4
61,2,6,3
62,1,2,4
63,2,4,3
64,1,3,4
65,0,5,2
66,5,1,6
67,4,5,1
68,5,1,6
69,1,2,4
70,0,6,2
71,0,5,2
72,3,1,5
73,4,5,1
74,4,4,1
75,5,1,6
76,3,3,5
77,5,1,6
78,3,1,5
79,0,6,2
80,0,6,2
81,0,5,2
82,2,4,3
83,1,2,4
84,0,6,2
85,1,2,4
86,0,6,2
87,2,5,3
88,2,4,3
89,2,4,3
90,5,1,6
91,2,4,3
92,5,1,6
93,5,1,6
94,1,2,4
95,2,5,3
96,5,1,6
97,0,6,2
98,0,6,2
99,4,5,1
100,5,1,6
101,4,4,1
102,3,3,5
103,5,1,6
104,4,5,1
105,5,1,6
106,0,6,2
107,1,2,4
108,1,2,4
109,4,5,1
110,0,4,2
111,3,1,5
112,1,2,4
113,3,1,5
114,3,3,5
115,5,1,6
116,2,5,3
117,2,4,3
118,0,6,2
119,4,5,1
120,3,3,5
121,4,5,1
122,3,3,5
123,4,6,1
124,2,6,3
125,5,4,6
126,1,3,4
127,3,3,5
128,1,3,4
129,5,1,6
130,4,4,1
131,5,6,6
132,3,1,5
133,1,2,4
134,4,6,1
135,1,2,4
136,2,4,3
137,2,4,3
138,4,4,1
139,5,1,6
140,4,5,1
141,5,1,6
142,1,2,4
143,5,1,6
144,5,1,6
145,3,1,5
146,5,5,6
147,2,4,3
148,1,2,4
149,3,1,5
150,1,2,4
151,3,3,5
152,1,2,4
153,5,1,6
154,5,1,6
155,1,3,4
156,1,4,4
157,3,3,5
158,3,3,5
159,0,6,2
160,2,6,3
161,5,1,6
162,5,1,6
163,1,2,4
164,1,2,4
165,0,5,2
166,5,5,6
167,3,1,5
168,5,5,6
169,3,3,5
170,3,3,5
171,1,3,4
172,1,4,4
173,1,2,4
174,3,3,5
175,4,6,1
176,4,5,1
177,3,6,5
178,5,1,6
179,2,4,3
180,5,1,6
181,1,5,4
182,3,1,5
183,1,2,4
184,0,6,2
185,1,2,4
186,0,6,2
187,1,2,4
188,3,1,5
189,1,2,4
190,2,5,3
191,5,1,6
192,2,5,3
193,1,2,4
194,0,6,2
195,4,6,1
196,3,1,5
197,5,1,6
198,4,6,1
199,2,4,3
200,3,1,5
201,5,5,6
202,0,6,2
203,2,6,3
204,1,3,4
205,3,3,5
206,4,4,1
207,5,1,6
208,4,4,1
209,4,6,1
210,3,1,5
211,4,6,1
212,2,6,3
213,0,6,2
214,5,1,6
215,1,2,4
216,1,2,4
217,1,3,4
218,0,5,2
219,1,2,4
220,4,5,1
221,1,3,4
222,3,3,5
223,5,1,6
224,5,1,6
225,5,1,6
226,4,4,1
227,3,1,5
228,5,1,6
229,1,3,4
230,5,1,6
231,5,1,6
232,3,3,5
233,3,3,5
234,3,1,5
235,0,6,2
236,3,1,5
237,5,4,6
238,1,5,4
239,3,1,5
240,2,4,3
241,5,1,6
242,1,3,4
243,2,6,3
244,1,2,4
245,5,1,6
246,4,5,1
247,1,3,4
248,3,5,5
249,1,3,4
250,3,3,5
251,4,4,1
252,3,3,5
253,1,2,4
254,4,4,1
255,5,1,6
256,1,2,4
257,0,4,2
258,5,1,6
259,5,1,6
260,5,5,6
261,3,1,5
262,3,3,5
263,0,6,2
264,5,4,6
265,0,6,2
266,4,4,1
267,1,2,4
268,0,4,2
269,0,6,2
270,1,2,4
271,2,4,3
272,3,1,5
273,2,5,3
274,1,2,4
275,3,1,5
276,5,1,6
